State,Year,Population,Rural,Urban,Literacy,Sex_Ratio
Andaman And Nicobar Islands,1951,0.0031,0.0023,0.0008,30.3,625
Andhra Pradesh,1951,3.1115,2.5695,0.542,0.0,986
Arunachal Pradesh,1951,0.02,0.02,0.0,0.0,0
Assam,1951,0.8029,0.7684,0.0345,18.53,868
Bihar,1951,2.9085,2.7219,0.1866,13.49,1000
Chhattisgarh,1951,0.7457,0.7093,0.0364,9.41,1024
Dadra And Nagar Haveli,1951,0.0042,0.0042,0.0,0.0,946
Daman And Diu,1951,0.0049,0.003,0.0018,0.0,1125
Delhi,1951,0.1744,0.0307,0.1437,0.0,768
Goa,1951,0.0547,0.0477,0.0071,23.48,1128
Gujarat,1951,1.6263,1.1835,0.4428,21.82,952
Haryana,1951,0.5674,0.4705,0.0968,0.0,871
Himachal Pradesh,1951,0.2386,0.2232,0.0154,0.0,912
Jammu And Kashmir,1951,0.3254,0.2797,0.0457,0.0,873
Jharkhand,1951,0.9697,0.8937,0.076,12.93,961
Karnataka,1951,1.9402,1.4948,0.4453,0.0,966
Kerala,1951,1.3549,1.1723,0.1826,47.18,1028
Lakshadweep,1951,0.0021,0.0021,0.0,15.23,1043
Madhya Pradesh,1951,1.8615,1.5846,0.2769,13.16,945
Maharashtra,1951,3.2003,2.2802,0.9201,27.91,941
Manipur,1951,0.0578,0.0575,0.0003,12.57,1036
Meghalaya,1951,0.0606,0.0547,0.0059,0.0,949
Mizoram,1951,0.0196,0.0189,0.0007,31.14,1041
Nagaland,1951,0.0213,0.0209,0.0004,10.52,999
Odisha,1951,1.4646,1.4052,0.0594,15.8,1022
Puducherry,1951,0.0317,0.0317,0.0,0.0,1030
Punjab,1951,0.9161,0.7171,0.1989,0.0,844
Rajasthan,1951,1.5971,1.3015,0.2955,8.5,921
Sikkim,1951,0.0138,0.0135,0.0003,0.0,907
Tamil Nadu,1951,3.0119,2.2786,0.7334,0.0,1007
Tripura,1951,0.0639,0.0596,0.0043,0.0,904
Uttar Pradesh,1951,6.0274,5.2049,0.8225,12.02,908
Uttarakhand,1951,0.2946,0.2545,0.0401,18.93,940
West Bengal,1951,2.63,2.0018,0.6282,24.61,865
All India,1951,36.1088,29.8644,6.2444,18.33,946
Andaman And Nicobar Islands,1961,0.0064,0.0049,0.0014,40.07,617
Andhra Pradesh,1961,3.5983,2.9709,0.6275,21.19,981
Arunachal Pradesh,1961,0.0337,0.0337,0.0,7.13,894
Assam,1961,1.0837,1.0056,0.0781,32.95,869
Bihar,1961,3.4841,3.2261,0.2581,21.95,1005
Chandigarh,1961,0.012,0.0021,0.0099,0.0,652
Chhattisgarh,1961,0.9154,0.8392,0.0763,18.14,1008
Dadra And Nagar Haveli,1961,0.0058,0.0058,0.0,0.0,963
Daman And Diu,1961,0.0037,0.0023,0.0013,0.0,1169
Delhi,1961,0.2659,0.0299,0.2359,61.95,785
Goa,1961,0.059,0.0503,0.0087,35.41,1066
Gujarat,1961,2.0633,1.5317,0.5317,31.47,940
Haryana,1961,0.7591,0.6283,0.1308,0.0,868
Himachal Pradesh,1961,0.2812,0.2634,0.0178,0.0,938
Jammu And Kashmir,1961,0.3561,0.2968,0.0593,12.95,878
Jharkhand,1961,1.1606,1.0273,0.1333,21.14,960
Karnataka,1961,2.3587,1.832,0.5266,29.8,959
Kerala,1961,1.6904,1.435,0.2554,55.08,1022
Lakshadweep,1961,0.0024,0.0024,0.0,27.15,1020
Madhya Pradesh,1961,2.3218,1.9353,0.3865,21.41,932
Maharashtra,1961,3.9554,2.8391,1.1163,35.08,936
Manipur,1961,0.078,0.0712,0.0068,36.04,1015
Meghalaya,1961,0.0769,0.0652,0.0117,26.92,937
Mizoram,1961,0.0266,0.0252,0.0014,44.01,1009
